	shannon	simpson	observed_species	PD_whole_tree
1344_s	1.02076313449	0.422908430214	4.0	1.31651
1660_s	1.07171651791	0.499507073416	3.0	1.29617
1268_s	1.88052853944	0.642191056711	5.0	1.6279
1355_s	0.81788829037	0.25079119399	8.0	1.967955
3126_s	0.786162222601	0.240456742659	5.0	1.73476
2158_s	0.0179988993713	0.0033742878	2.0	1.01547
2261_s	1.0262107677	0.4324304006	5.0	1.412315
1696_s	0.407984218243	0.126275297281	5.0	1.41409
3022_s	0.9556222686	0.385897190272	3.0	1.46186
1255_s	0.388644168554	0.105469806593	4.0	1.110005
3_s	0.977144862962	0.383445019354	6.0	2.016185
4_s	1.07140062854	0.490429765578	3.0	1.26748
2325_s	0.603439206767	0.161175251155	6.0	1.784465
2953_s	0.244000841054	0.0723745430415	3.0	1.69868
2227_s	1.01521249322	0.305488339214	8.0	1.974455
2290_s	1.45591230747	0.4003608744	11.0	2.208075
1500_s	1.66159250688	0.591078582907	7.0	2.35003
1510_s	1.41879427824	0.528129269539	6.0	1.686365
1427_s	1.4243291762	0.564451916193	8.0	2.302175
2239_s	1.14989847186	0.342168158581	8.0	2.126005
2254_s	1.18663269553	0.341655892644	7.0	1.724275
1354_s	0.910072364936	0.290882790908	5.0	1.60915
3190_s	0.707954291349	0.2060951272	5.0	2.09749
2054_s	0.308528694118	0.0877020965119	3.0	1.29724
2079_s	0.179282341532	0.0395875956251	6.0	1.51017
2413_s	0.266775272734	0.086781116936	2.0	1.18934
2409_s	0.894166263828	0.362140446661	4.0	1.562315
1299_s	0.026131422789	0.00520001666395	2.0	1.10256
2954_s	0.151490721671	0.0336931842603	4.0	1.31651
1526_s	1.0806329254	0.5034578614	3.0	1.29724
